time,exact_position,float64_exact_position,low_precision_exact_position,float64_biased_position
0,1,1,1,1
0.12,0.992808635854,0.9928,0.9928,0.992944
0.24,0.971337974852,0.97130368,0.9713,0.971875574272
0.36,0.935896823678,0.935820587008,0.9358,0.93709204044
0.48,0.886994922779,0.886861677563,0.8868,0.889084263733
0.6,0.82533561491,0.825131959961,0.8251,0.828529729896
0.72,0.751805729141,0.751520342136,0.7515,0.756282984512
0.84,0.667462825841,0.667086831384,0.6671,0.673363573649
0.96,0.573519986072,0.57304727026,0.5731,0.580941656036
1.08,0.471328364174,0.470755828444,0.4708,0.480321489772
1.2,0.362357754477,0.361685502699,0.3617,0.372923026645
1.32,0.248175451652,0.247406905715,0.2474,0.260261873765
1.44,0.130423708738,0.129565649288,0.1296,0.143927905323
1.56,0.0107961170583,0.0098586475122,0.0099,0.0255628262815
1.68,-0.10898675224,-0.109990318788,-0.1099,-0.0931629953648
1.8,-0.227202094693,-0.228255424498,-0.2282,-0.21057410082
1.92,-0.342149651151,-0.343233652095,-0.3432,-0.325013584565
2.04,-0.452176162141,-0.453269315102,-0.4532,-0.434866476605
2.16,-0.555699146251,-0.556777899971,-0.5567,-0.538582532927
2.28,-0.651229660528,-0.652268883081,-0.6522,-0.634698112544
2.4,-0.737393715541,-0.738367194275,-0.7383,-0.721856832397
2.52,-0.8129520371,-0.813833017871,-0.8138,-0.798828708631
2.64,-0.876817890394,-0.877579646009,-0.8776,-0.864527514128
2.76,-0.928072710209,-0.928689127245,-0.9287,-0.918026107347
2.88,-0.965979312398,-0.966425485049,-0.9664,-0.958569516138
3,-0.9899924966,-0.990245315868,-0.9902,-0.985585591918
3.12,-0.999766887713,-0.999805614138,-0.9998,-0.998693083825
3.24,-0.995161903324,-0.994968711565,-0.995,-0.997707018933
3.36,-0.976243775672,-0.975804259546,-0.9758,-0.982641312589
3.48,-0.943284599048,-0.942588226189,-0.9426,-0.953708572043
3.6,-0.896758416334,-0.895798922374,-0.8958,-0.911317096127
3.72,-0.837334400974,-0.836110114078,-0.8361,-0.856065113351
3.84,-0.765867232435,-0.764381320139,-0.7644,-0.788732339696
3.96,-0.683384803583,-0.68164543519,-0.6817,-0.710268975263
4.08,-0.591073436783,-0.589093855974,-0.5892,-0.62178229505
4.2,-0.490260821341,-0.488059325232,-0.4882,-0.52452102309
4.32,-0.382396917713,-0.379996740207,-0.3801,-0.419857710453
4.44,-0.269033103117,-0.266462202123,-0.2666,-0.309269365805
4.56,-0.151799858498,-0.149090608328,-0.1492,-0.194316611867
4.68,-0.0323833177597,-0.0295721097732,-0.0297,-0.0766216619023
4.8,0.0874989834394,0.0903722271622,0.0902,0.0421545729551
4.92,0.206122810534,0.209015204026,0.2088,0.160335922479
5.04,0.32178202925,0.324648361953,0.3244,0.276254611465
5.16,0.432813144469,0.435606583467,0.4354,0.388274795374
5.28,0.537619225831,0.540292070179,0.5401,0.49481564537
5.4,0.634692875943,0.637197351081,0.637,0.594373656979
5.52,0.722637910871,0.724926990127,0.7248,0.685543867541
5.64,0.800189441073,0.802217680515,0.8021,0.767039683044
5.76,0.866232063962,0.867956436304,0.8679,0.83771103454
5.88,0.919815906437,0.92119661941,0.9212,0.896560607916
6,0.96017028665,0.961171571197,0.9612,0.942757917994
6.12,0.986714798517,0.987305652358,0.9874,0.975651028333
6.24,0.999067659534,0.999222532126,0.9994,0.99477575136
6.36,0.997051201859,0.99675060743,0.997,0.999862198984
6.48,0.980694427654,0.979925473988,0.9802,0.990838591255
6.6,0.950232591959,0.94898941372,0.9493,0.967832269327
6.72,0.906103819078,0.904387905895,0.9047,0.931167898415
6.84,0.848942801164,0.846763212225,0.8471,0.881362886119
6.96,0.779571669604,0.776945128299,0.7773,0.819120080775
7.08,0.698988170536,0.695939034525,0.6963,0.745317852851
7.2,0.608351314532,0.604911418654,0.6053,0.660997699388
7.32,0.508964706865,0.505173078355,0.5056,0.56734954639
7.44,0.402257798109,0.398160245727,0.3986,0.465694956595
7.56,0.289765324738,0.285413905561,0.2858,0.357468479571
7.68,0.173105235434,0.168557605155,0.1689,0.244197407364
7.8,0.0539554205626,0.0492740752342,0.0496,0.127480221344
7.92,-0.0659704204627,-0.0707190013698,-0.0704,0.00896403444104
8.04,-0.184947426855,-0.189693724354,-0.1894,-0.109678652916
8.16,-0.301264384659,-0.305936857707,-0.3057,-0.226773555124
8.28,-0.413248338674,-0.41777450031,-0.4176,-0.340668228921
8.4,-0.519288654117,-0.523596190108,-0.5235,-0.449755392672
8.52,-0.617860181942,-0.621878094768,-0.6218,-0.552495608322
8.64,-0.707545194648,-0.711204954864,-0.7112,-0.647439005947
8.76,-0.787053777064,-0.79029046361,-0.7903,-0.73324574432
8.88,-0.855242378854,-0.85799578968,-0.8581,-0.808704918749
9,-0.911130261885,-0.913345976378,-0.9135,-0.872751649365
9.12,-0.95391360592,-0.955543981017,-0.9558,-0.924482108705
9.24,-0.982977069747,-0.983982152329,-0.9843,-0.963166276527
9.36,-0.997902641462,-0.998250980647,-0.9986,-0.988258241855
9.48,-0.998475650623,-0.998144994844,-0.9985,-0.999403906873
9.6,-0.984687855794,-0.983665721115,-0.9841,-0.996445983958
9.72,-0.956737563083,-0.955021661003,-0.9555,-0.979426215317
9.84,-0.915026773955,-0.912625288972,-0.9131,-0.948584783926
9.96,-0.860155403357,-0.857087112779,-0.8576,-0.904356924063
10.08,-0.792912651304,-0.789206882163,-0.7897,-0.847366779289
10.2,-0.714265652027,-0.709962072443,-0.7105,-0.778418594525
10.32,-0.625345563949,-0.62049380888,-0.621,-0.698485366555
10.44,-0.527431300536,-0.52209043447,-0.5226,-0.608695113092
10.56,-0.421931136034,-0.416168957803,-0.4167,-0.510314954194
10.68,-0.310362450644,-0.304254648144,-0.3048,-0.404733230662
10.8,-0.194329906455,-0.187959071551,-0.1885,-0.293439911778
10.92,-0.0755023680226,-0.068956884328,-0.0694,-0.17800556886
11.04,0.0444111004548,0.0510382820293,0.0507,-0.060059211354
11.16,0.163685816141,0.170298497125,0.17,0.0587347017427
11.28,0.280606283209,0.287106413863,0.2869,0.176699750728
11.4,0.393490866348,0.399779998241,0.3997,0.292171212832
11.52,0.500715977271,0.506696750644,0.5067,0.40351955478
11.64,0.600739426341,0.606317069838,0.6064,0.509173428771
11.76,0.692122603468,0.697206423226,0.6974,0.607641847335
11.88,0.773551169244,0.77805600412,0.7783,0.697535224149
12,0.843853958732,0.847701578554,0.848,0.777584983881
12.12,0.902019826014,0.905140250257,0.9055,0.846661464319
12.24,0.947212187224,0.949544902357,0.95,0.903789858174
12.36,0.978781052911,0.980276107862,0.9808,0.948163969549
12.48,0.996272376655,0.996891337415,0.9975,0.979157590987
12.6,0.999434585501,0.999151331708,0.9998,0.9963333405
12.72,0.988222198258,0.987023546826,0.9877,0.999448833913
12.84,0.962796479645,0.960682622868,0.9614,0.988460105381
12.96,0.923523120864,0.920507869142,0.9213,0.963522227842
13.08,0.870966979964,0.867077802099,0.8679,0.924987124624
13.2,0.80588395764,0.801161814707,0.802,0.873398603103
13.32,0.729210125319,0.723709097183,0.7245,0.809484680495
13.44,0.642048261896,0.635834968659,0.6366,0.734147310075
13.56,0.545651992773,0.538804816587,0.5395,0.648449652817
13.68,0.441407759295,0.434015875156,0.4347,0.553601074057
13.8,0.330814877949,0.322977105122,0.3236,0.450940076941
13.92,0.215463976099,0.207287464775,0.2078,0.341915413458
14.04,0.0970141144232,0.088612884935,0.089,0.228065639661
14.16,-0.0228310749005,-0.031337720448,-0.031,0.110997403557
14.28,-0.142347891077,-0.150837062657,-0.1506,-0.00763722790556
14.4,-0.259817356214,-0.268164351163,-0.268,-0.126164082808
14.52,-0.37354993891,-0.381630073012,-0.3816,-0.242910510174
14.64,-0.481909854332,-0.489600321811,-0.4897,-0.356228984421
14.76,-0.583338591257,-0.590520325975,-0.5907,-0.464520355239
14.88,-0.676377327722,-0.682936837445,-0.6832,-0.566256414805
15,-0.759687912859,-0.765519058456,-0.7659,-0.660001463844
15.12,-0.832072113158,-0.837077805025,-0.8376,-0.744432572226
15.24,-0.892488846335,-0.896582631202,-0.8972,-0.818358248149
15.36,-0.940069154931,-0.943176667489,-0.9439,-0.880735252473
15.48,-0.974128704295,-0.976188959765,-0.977,-0.930683320915
15.6,-0.994177625184,-0.99514413102,-0.996,-0.967497586332
15.72,-0.999927559415,-0.999769226788,-1.0007,-0.990658525811
15.84,-0.991295807248,-0.989997645691,-0.991,-0.999839292173
15.96,-0.968406516828,-0.965970098495,-0.967,-0.994910326444
16.08,-0.931588898599,-0.928032581881,-0.9291,-0.975941186189
16.2,-0.881372490362,-0.876731396089,-0.8778,-0.943199563914
16.32,-0.818479541072,-0.812805278192,-0.8138,-0.897147509393
16.44,-0.74381462293,-0.73717476429,-0.7381,-0.838434909219
16.56,-0.658451621166,-0.650928933782,-0.6518,-0.767890315607
16.68,-0.563618288642,-0.555309726627,-0.5561,-0.686509253861
16.8,-0.460678587411,-0.451694059409,-0.4524,-0.595440173524
16.92,-0.351113071228,-0.341573997735,-0.3422,-0.495968241459
17.04,-0.236497591141,-0.226535270494,-0.227,-0.38949720557
17.16,-0.11848063046,-0.108234435358,-0.1086,-0.277529585116
17.28,0.00124040493806,0.0116249756471,0.0114,-0.161645467157
17.4,0.120943599928,0.131316987003,0.1312,-0.043480208365
17.52,0.238907295982,0.249118033746,0.2491,0.0752986431271
17.64,0.353434853311,0.363331780803,0.3634,0.193014880167
17.76,0.462879053176,0.472313550217,0.4725,0.308007291219
17.88,0.565665789386,0.574494004507,0.5748,0.418653103376
18,0.660316708244,0.668401745133,0.6688,0.523390882939
18.12,0.7454704713,0.752684500628,0.7532,0.620742570362
18.24,0.819902335118,0.826128599315,0.8267,0.709334338632
18.36,0.882541766423,0.887676446171,0.8883,0.787915980715
18.48,0.932487839295,0.936441752203,0.9372,0.855378552478
18.6,0.969022192939,0.971722297003,0.9726,0.910770022109
18.72,0.991619363673,0.993010040726,0.994,0.953308705187
18.84,0.999954342529,0.999998439862,1.001,0.982394295818
18.96,0.993907249772,0.992586861465,0.9936,0.997616338147
19.08,0.973565059095,0.970882032262,0.9719,0.998760018711
19.2,0.939220346697,0.935196501795,0.9362,0.985809197892
19.32,0.891367083246,0.886044141702,0.887,0.958946637672
19.44,0.830693529228,0.824132745969,0.8251,0.918551422501
19.56,0.758072335885,0.750353838693,0.7513,0.865193609655
19.68,0.67454799411,0.665769836141,0.6667,0.799626184591
19.8,0.581321811814,0.571598747948,0.5725,0.722774434809
19.92,0.47973463585,0.469196637784,0.47,0.635722892203
20.04,0.371247566965,0.360038096037,0.3608,0.539700028142
20.16,0.257420945195,0.245695005706,0.2464,0.436060917285
20.28,0.139891907914,0.127813907293,0.1284,0.326268114762
20.4,0.0203508433317,0.00809228861562,0.0086,0.211871016605
20.52,-0.0994829219013,-0.111745859018,-0.1114,0.0944839946603
20.64,-0.217885851299,-0.229974866282,-0.2297,-0.0242363854166
20.76,-0.333154987698,-0.344892235472,-0.3447,-0.142614741623
20.88,-0.443632446431,-0.45484315647,-0.4548,-0.258980518595
21,-0.547729260224,-0.558244336016,-0.5583,-0.371691562488
21.12,-0.64394823289,-0.653606797123,-0.6538,-0.479157295052
21.24,-0.730905473089,-0.739557320351,-0.7399,-0.579861159868
21.36,-0.80735029846,-0.814858218166,-0.8153,-0.672382023996
21.48,-0.872183223852,-0.87842515764,-0.879,-0.755414233002
21.6,-0.924471774914,-0.929342774843,-0.93,-0.827786036351
21.72,-0.963463899624,-0.966877856089,-0.9676,-0.888476123155
21.84,-0.988598784846,-0.990489896208,-0.9913,-0.93662803491
21.96,-0.999514922356,-0.99983888182,-1.0007,-0.971562251835
22.08,-0.996055308313,-0.994790187535,-0.9957,-0.992785782263
22.2,-0.978269701407,-0.975416514549,-0.9764,-0.999999119732
22.32,-0.946413907188,-0.941996843754,-0.943,-0.993100469622
22.44,-0.900946098891,-0.895012418408,-0.896,-0.972187185686
22.56,-0.842520227647,-0.835139814238,-0.8361,-0.937554396185
22.68,-0.771976616889,-0.763241196742,-0.7642,-0.889690839045
22.8,-0.690329876202,-0.680351906014,-0.6813,-0.829271964785
22.92,-0.598754308473,-0.587665547838,-0.5886,-0.757150404557
23.04,-0.498567020212,-0.486516805774,-0.4874,-0.674343937821
23.16,-0.391208977963,-0.378362221707,-0.3792,-0.582021129434
23.28,-0.278224283279,-0.264759221647,-0.2655,-0.481484838868
23.4,-0.161237964324,-0.147343688796,-0.148,-0.374153834256
23.52,-0.0419326035382,-0.0278064068253,-0.0284,-0.261542770735
23.64,0.0779758624912,0.0921312874032,0.0916,-0.145240815634
23.76,0.196762822877,0.210742291093,0.2103,-0.0268892221421
23.88,0.312719797043,0.326318605791,0.326,0.0918418320524
24,0.424179007337,0.437195932566,0.437,0.209276814313
24.12,0.529537366221,0.541777637912,0.5417,0.32375848217
24.24,0.627279533046,0.638557745272,0.6386,0.433671270327
24.36,0.715999708784,0.7261426211,0.7263,0.537464089516
24.48,0.794421855253,0.803271043184,0.8036,0.633672215475
24.6,0.861418048029,0.868832362246,0.8693,0.720937959129
24.72,0.916024699073,0.921882495292,0.9225,0.798029826303
24.84,0.957456415762,0.961657520406,0.9624,0.863859896569
24.96,0.985117296972,0.987584677226,0.9884,0.917499175974
25.08,0.998609503763,0.999290614693,1.0002,0.958190707008
25.2,0.997738981391,0.99660676731,0.9976,0.985360250785
25.32,0.982518250343,0.979571782477,0.9806,0.998624390703
25.44,0.953166226259,0.948430963976,0.9495,0.997795943219
25.56,0.910105071325,0.903632739594,0.9047,0.982886599384
25.68,0.853954122432,0.845822203762,0.8469,0.954106759859
25.8,0.785520983423,0.775831828196,0.7769,0.911862565738
25.92,0.705789909541,0.694669474304,0.6957,0.85675016709
26.04,0.615907651159,0.603503879981,0.6045,0.789547310084
26.16,0.517166960377,0.503647829787,0.5046,0.711202361439
26.28,0.410987997722,0.396539250844,0.3974,0.622820925068
26.4,0.298897906364,0.283720506689,0.2845,0.525650239803
26.52,0.182508847633,0.166816187238,0.1675,0.421061578354
26.64,0.0634948137344,0.0475097146904,0.0481,0.310530895911
26.76,-0.0564324488178,-0.0724808977488,-0.072,0.195618001465
26.88,-0.175548058792,-0.19142778526,-0.191,0.0779445457822
27,-0.292138808734,-0.307618112664,-0.3073,-0.0408288633306
27.12,-0.404527805566,-0.419378739246,-0.4192,-0.159026095524
27.24,-0.511098588885,-0.525100311982,-0.525,-0.274979151457
27.36,-0.610318380069,-0.623260440226,-0.6233,-0.387051701605
27.48,-0.70076012782,-0.71244561813,-0.7126,-0.49366217814
27.6,-0.781123033055,-0.791371579134,-0.7916,-0.593306094018
27.72,-0.850251257943,-0.858901789398,-0.8592,-0.684577274296
27.84,-0.907150550008,-0.914063813894,-0.9145,-0.766187700079
27.96,-0.951002542191,-0.956063319471,-0.9566,-0.836985685039
28.08,-0.981176523205,-0.984295513247,-0.9849,-0.895972128012
28.2,-0.997238508879,-0.998353851632,-0.999,-0.942314612314
28.32,-0.998957484038,-0.998035894554,-0.9987,-0.975359152807
28.44,-0.986308725128,-0.983346220595,-0.9841,-0.994639424936
28.56,-0.959474155812,-0.954496361058,-0.9553,-0.9998833455
28.68,-0.918839730409,-0.911901753923,-0.9127,-0.991016912292
28.8,-0.86498988282,-0.856175761531,-0.857,-0.968165248418
28.92,-0.798699120771,-0.788120838173,-0.7889,-0.931650836559
29.04,-0.72092088628,-0.708716974745,-0.7095,-0.881988968094
29.16,-0.632773842562,-0.619107586881,-0.6199,-0.819880471311
29.28,-0.535525784596,-0.520583049766,-0.5213,-0.746201821317
29.4,-0.430575404777,-0.414562116734,-0.4152,-0.66199277122
29.52,-0.319432175901,-0.302571489221,-0.3031,-0.568441679136
29.64,-0.203694640831,-0.186223832264,-0.1867,-0.466868738077
29.76,-0.0850274210881,-0.0671945521217,-0.0676,-0.358707345385
29.88,0.03486272495,0.0528023295709,0.0525,-0.245483874635
